mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,distnr,magpsf_corr,band,yr
60545.33215280017,1,19.14897,0.13048567,326.8283588,-13.4746811,1,11.952559,,g,2024
60545.36138889985,2,19.28509,0.2018652,326.828329,-13.474685,1,0.3872179,19.184471,r,2024
60547.31255789986,1,19.343285,0.15517415,326.8283291,-13.4746767,1,3.913292,,g,2024
60547.4298843001,2,18.809517,0.11278251,326.8283132,-13.474705,1,0.60384387,18.753454,r,2024
60548.31412040023,1,19.001806,0.107051335,326.8283224,-13.4746972,1,11.959761,,g,2024
60549.314398100134,1,19.442608,0.12149639,326.8283509,-13.4746502,1,3.884313,,g,2024
60549.35729169985,2,19.124323,0.1111357,326.8283446,-13.4746671,1,0.46653804,19.050035,r,2024
60550.23208330013,2,19.456467,0.13722979,326.8283465,-13.4746524,1,0.5058172,19.339539,r,2024
60550.23208330013,2,19.4565,0.13723,326.8283465,-13.4746524,1,0.505817,19.33957,r,2024
60550.30877309991,1,19.391382,0.110394485,326.8283215,-13.4746935,1,11.973602,,g,2024
60551.27106480021,2,19.69272,0.15745896,326.8282937,-13.4746601,1,0.63627875,19.570127,r,2024
60551.2936689998,1,18.933916,0.118452296,326.8283556,-13.474661,1,3.9097102,,g,2024
60552.252499999944,2,19.008024,0.12564972,326.8283475,-13.4746523,1,0.5166413,18.929268,r,2024
60552.294733799994,1,19.587112,0.13779196,326.8283402,-13.4746372,1,12.108752,,g,2024
60553.27300930023,2,19.323206,0.13533482,326.828315,-13.4746941,1,0.585022,19.23458,r,2024
60553.27347220015,2,19.324661,0.16303457,326.8283369,-13.4746791,1,0.4213773,19.22048,r,2024
60553.31084490009,1,19.865763,0.13810873,326.8283679,-13.4746834,1,11.923635,,g,2024
60553.31179400021,1,19.80077,0.14254493,326.8283725,-13.4746809,1,4.000571,,g,2024
60555.19450230012,2,18.852938,0.094094075,326.8283275,-13.4746842,1,0.53328305,18.79465,r,2024
60555.19497689977,2,18.80755,0.10928591,326.8283046,-13.4746669,1,0.38987628,18.741678,r,2024
60555.27353010001,1,19.280037,0.16011535,326.8283646,-13.4746687,1,3.9490323,,g,2024
